,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
11.04.2007,15.3549,4.7,0,0,29,0,0,4.375,0.49,0,0,3.7,1.4418,46.7418,1.2798,74.8009,1.684,0,26.5,0,47.5878,9.7319,0,25.6431,6.9,1.2846,28,3.6236,4.5996,41.9552,0,52.8582,4.7131,55.1576,1120.4348,0,8.1817,283.8784,53.134,333.3065,7.6671,16.3107,12.4858,2085.6477,14.5833
18.04.2007,14.3642,4.8,0,0,28.5,0,0,4.0833,0.38,0,0,3.65,1.2384,45.2657,1.2798,75.2962,1.7019,0,27,0,46.1348,10.3217,0,24.7811,6.5,1.3218,28.5,3.4767,4.2287,41.9552,0,52.0809,4.5643,53.239,1093.9678,0,8.4638,278.1241,53.134,347.6731,7.6671,16.3107,12.4858,2077.3384,14.7917
25.04.2007,16.8408,4.6,0,0,28,0,0,3.9167,0.38,0,0,3.6,1.2199,44.7737,1.2798,75.7916,1.6661,0,28,0,45.4082,11.3047,0,25.2121,6.4,1.3218,28,3.3298,4.3029,41.4207,0,52.4695,4.4154,50.8409,1093.9678,0,8.4638,270.4517,53.134,344.7998,7.5073,15.831,12.2361,2135.5038,15.2083
02.05.2007,18.0791,4.85,0,0,27.5,0,0,3.9167,0.37,0,0,3.8,1.1645,45.2657,1.2798,76.287,1.6123,0,28,0,45.045,11.7962,0,24.5657,6.2,1.3777,28,3.2809,4.2287,42.2224,0,49.3602,4.6139,49.402,1080.7343,0,8.5579,272.3698,53.134,341.9265,7.3476,15.831,12.2361,2110.5758,14.5833
09.05.2007,19.3174,4.85,0,0,28.5,0,0,3.8333,0.35,0,0,3.75,1.2199,45.2657,1.2798,74.3055,1.5407,0,30.5,0,44.6817,11.7962,0,25.2121,6.5,1.5639,27.5,3.4278,4.3771,45.4292,0,51.6922,4.3658,51.8001,1208.658,0,8.2757,285.7965,52.6912,344.7998,7.6671,15.5911,11.9864,2123.0398,15.4167
16.05.2007,20.8034,5.2,0,0,29,0,0,4.0833,0.46,0,0,3.85,1.2939,46.2498,1.3783,72.324,1.6123,0,31.5,0,45.7715,11.7962,0,25.2121,6.2,1.6011,28.5,3.8195,4.3029,45.4292,0,52.4695,4.5643,50.8409,1182.191,0,8.2757,308.8137,56.6762,347.6731,7.6671,15.3513,11.9864,2114.7305,15
23.05.2007,19.8127,5.5,0,0,32,0,0,4.1667,0.59,0,0,4.6,1.4787,47.2338,1.6736,79.7546,1.7735,0,32,0,49.4042,11.5505,0,25.6431,6.5,1.6197,29,4.0154,4.4513,43.5586,0,54.8015,4.465,52.7594,1191.0133,0,8.6519,337.5851,61.9896,358.5918,7.6671,15.1114,11.7367,2052.4103,15.75
30.05.2007,18.0791,5.4,0,0,31,0,0,4.0833,0.64,0,0,4.5,1.4418,51.662,1.4767,76.7823,1.7019,0,31.5,0,47.2246,11.5505,0,25.6431,6.3,1.6569,27.5,3.7706,4.3029,44.093,0,52.8582,4.3162,52.7594,1177.7798,0,8.4638,306.8956,58.0046,358.5918,7.9865,14.8715,11.7367,2052.4103,15
06.06.2007,18.8221,5.7,0,0,31.5,0,0,4.375,0.63,0,0,4.95,1.5711,50.678,1.5752,84.7083,1.7735,0,33,0,47.9511,11.7962,0,27.5825,0,1.7686,28,3.9175,4.5255,43.2913,0,53.2469,4.3658,53.7187,1274.8254,0,8.4638,329.9127,58.8902,379.2798,8.7852,15.5911,11.7367,2156.2772,17.25
13.06.2007,17.5838,5.2,0,0,31.5,0,0,4.375,0.64,0,0,5.3,1.5342,51.662,1.4767,83.7175,1.684,0,31,0,48.6776,11.5505,0,27.5825,6.4,1.6756,28,3.9175,4.3771,44.093,0,54.8015,4.1178,51.3205,1252.7696,0,8.2757,320.3222,61.1041,365.4878,8.1462,16.5506,11.7367,2201.9787,16.5
20.06.2007,17.5838,5.5,0,0,37,0,0,5.4167,0.63,0,0,5,1.6266,58.0582,1.5752,85.699,2.1139,0,32,3.5752,54.8531,11.5505,0,29.0909,6.3,1.6569,28,4.0154,4.1545,44.8947,0,56.3562,4.3658,53.239,1248.3584,0,8.2757,333.7489,62.8752,399.9677,9.5838,17.7499,11.7367,2231.0614,19
27.06.2007,16.8408,5.3,0,0,33,0,0,5,0.55,0,0,4.95,1.5342,59.0423,1.772,84.7083,1.9348,0,31.5,5.877,49.0409,11.5505,0,28.6599,5.9,1.6197,28.5,3.8685,3.8578,44.2194,0,52.8582,4.2666,51.8001,1199.8356,0,7.9936,320,58.8902,375.8318,9,17.7499,11.9864,2177.0506,17.5
04.07.2007,14.8596,5.9,0,0,35,0,0,5,0.56,0,0,5.2,1.5527,61.5024,1.6736,88.1759,1.9348,0,31,6.8565,51.5837,12.2878,0,28.8754,6,1.75,28.5,4.0154,4.3029,47.1854,0,55.1902,4.4154,50.8409,1235.1249,0,8.2757,360,62.8752,391.064,9.8,16.7904,12.7355,2235.2161,17.75
11.07.2007,15.3549,5.6,0,0,33,0,0,5,0.53,0,0,5.4,1.5157,63.4705,1.772,86.1944,1.8631,0,34.5,6.0729,50.8572,13.2708,0,28.8754,6,1.7873,30,3.8195,4.748,47.1854,5.6399,54.8015,4.2666,52.2798,1191.0133,0,8.2757,342,61.5469,394.5248,10.2,17.2702,12.2361,2210.288,17.5
18.07.2007,15.8502,5.8,0,0,36,0,0,5,0.54,0,0,5.6,1.4602,0,1.6736,88.1759,1.9348,0,37.5,0,50.8572,14.4996,0,29.7374,6.1,1.7686,33.5,3.9175,4.8222,46.1069,5.4454,54.0242,4.1674,51.3205,1208.658,0,7.8055,346,62.8752,391.064,10.4,17.0303,12.4858,2247.6801,18
25.07.2007,16.3455,5,0,0,34,0,0,4.7917,0.51,0,0,5.2,1.4048,58.0582,1.8705,85.699,1.8631,0,36,6.7586,48.6776,13.7623,0,28.8754,5.9,1.7314,32.5,3.8685,4.8964,44.7587,5.3481,52.8582,4.1674,50.3613,1204.2468,0,7.4294,342,60.2185,391.064,10,16.7904,11.487,2197.824,17.5
01.08.2007,15.3549,4.7,0,0,30.5,0,0,4.5833,0.4,0,0,4.85,1.2384,58.0582,1.5752,83.7175,1.7377,0,34.5,5.6811,45.045,13.5165,0,27.367,5.6,1.6756,31,3.6236,4.4513,43.9498,4.8619,48.9716,3.9689,46.0446,1151.3129,0,6.583,320,58.8902,356.4566,9.2,15.1114,9.7889,2093.9571,16.5
08.08.2007,14.6119,3.8,0,0,30,0,0,4.1667,0.37,0,0,4.7,1.2199,54.1221,1.3783,77.2777,1.5944,0,34.5,5.5832,43.9552,13.5165,0,26.7205,4.95,1.5639,29,3.3788,4.748,44.2194,4.6675,50.5262,3.8697,50.3613,1195.4245,0,6.3008,300,53.134,333.9618,8.8,15.1114,9.3893,2201.9787,15.25
15.08.2007,12.6306,3.3,0,0,25.5,0,0,4,0.31,0,0,4.35,1.0906,43.2977,1.1814,69.3518,1.3436,0,30.5,5.0934,38.5062,13.2708,0,24.7811,4.25,1.5266,29,3.036,4.5255,39.3661,4.2299,45.8623,3.4728,49.402,1155.724,0,6.1128,266,48.7061,299.3543,8,15.831,9.4892,2048.2556,14.25
22.08.2007,11.8876,3.4,0,0,23.75,0,0,4.0833,0.32,0,0,4.2,1.0351,44.7737,1.1814,74.3055,1.3257,0,31,4.9955,36.6898,13.025,0,26.0741,4.25,1.3777,30.5,3.036,4.6738,37.209,4.4244,45.8623,3.8201,50.3613,1173.3687,0,5.8306,268,51.3628,314.9277,8.2,15.3513,9.2895,2127.8852,13.5
