<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
Индекс ММВБ,W,20140602,000000,1432.67,1486.59,1432.67,1484.94,0,0
Индекс ММВБ,W,20140609,000000,1485.27,1501.18,1475.97,1501.18,0,0
Индекс ММВБ,W,20140616,000000,1501.17,1508.95,1467.09,1486.3,0,0
Индекс ММВБ,W,20140623,000000,1486.33,1519.09,1465.15,1477.32,0,0
Индекс ММВБ,W,20140630,000000,1477.29,1522.21,1460.38,1489.53,0,0
Индекс ММВБ,W,20140707,000000,1489.55,1532.08,1480.26,1499.82,0,0
Индекс ММВБ,W,20140714,000000,1500.29,1502.68,1410.48,1422.53,0,0
Индекс ММВБ,W,20140721,000000,1422.53,1424.64,1384.5,1388.41,0,0
Индекс ММВБ,W,20140728,000000,1387.12,1403.6,1356.62,1374.83,0,0
Индекс ММВБ,W,20140804,000000,1375.73,1386.43,1306.8,1348.21,0,0
Индекс ММВБ,W,20140811,000000,1350.42,1425.76,1350.42,1417.82,0,0
Индекс ММВБ,W,20140818,000000,1418.05,1469.44,1415.35,1446.6,0,0
Индекс ММВБ,W,20140825,000000,1446.86,1460,1400.44,1400.71,0,0
Индекс ММВБ,W,20140901,000000,1401.34,1481.15,1386.31,1474.71,0,0
Индекс ММВБ,W,20140908,000000,1474.38,1479.64,1440.23,1458.52,0,0
Индекс ММВБ,W,20140915,000000,1457.87,1483.66,1423.44,1431.58,0,0
Индекс ММВБ,W,20140922,000000,1431.12,1454.26,1412.83,1434.2,0,0
Индекс ММВБ,W,20140929,000000,1434.99,1444.93,1372.43,1384.66,0,0
Индекс ММВБ,W,20141006,000000,1385.97,1424.35,1359.4,1364.24,0,0
Индекс ММВБ,W,20141013,000000,1364.11,1408.56,1354.6,1384.72,0,0
Индекс ММВБ,W,20141020,000000,1385.26,1395.92,1355.24,1380.39,0,0
Индекс ММВБ,W,20141027,000000,1381.95,1488.47,1381.95,1488.47,0,0
Индекс ММВБ,W,20141103,000000,1488.15,1526.08,1471.25,1497.11,0,0
Индекс ММВБ,W,20141110,000000,1498.62,1531.92,1481.97,1500.76,0,0
Индекс ММВБ,W,20141117,000000,1506.78,1541.52,1495.09,1538.93,0,0
Индекс ММВБ,W,20141124,000000,1539.95,1548.17,1516.18,1533.68,0,0
Индекс ММВБ,W,20141201,000000,1532.89,1623.02,1525.35,1529.2,0,0
Индекс ММВБ,W,20141208,000000,1529.73,1551.66,1413.04,1459.68,0,0
Индекс ММВБ,W,20141215,000000,1459.25,1506.13,1309.6,1449.13,0,0
Индекс ММВБ,W,20141222,000000,1452.95,1466.34,1383.61,1417.8,0,0
Индекс ММВБ,W,20141229,000000,1417.53,1489.75,1378.54,1396.61,0,0
