,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
17.07.2006,7.5288,1.46,0,0,15.6522,0,0,2.6667,0.115,0,0,1.06,0.9427,32.4733,0.7384,44.5833,0.9172,0,16,0,25.0653,7.3727,0,18.963,6.9091,0.6982,14.25,1.2726,0,24.0938,0,37.0933,0,29.7371,833.7093,0,4.7962,162.6546,27.4526,219.8099,4.728,18.7093,6.0931,1499.8383,10.1309
31.07.2006,7.826,1.64,0,0,16.3043,0,0,2.75,0.13,0,0,1.12,0.9981,34.4413,0.7384,45.574,1.0319,0,16.5,0,28.3347,8.454,0,19.3939,0,0.8099,14.5,1.3648,0,25.9472,0,41.2997,0,32.1353,864.5874,0,4.9843,174.1632,29.6665,244.2332,5.2392,18.2296,6.2929,1720.0362,11.3714
07.08.2006,7.727,1.6,0,0,15,0,0,2.5833,0.125,0,0,1.08,0.9427,34.4413,0.8368,43.0972,0.9602,0,17.25,0,27.6082,8.6506,0,18.101,0,0.8192,14.5,1.4386,0,26.212,0,40.5349,0,31.6556,908.6991,0,4.7021,165.7236,27.8953,244.2332,5.2392,18.2296,6.0931,1749.1189,11.3714
14.08.2006,7.727,1.6,0,0,14.7826,0,0,2.6667,0.135,0,0,1.08,0.9242,33.9493,0.8368,41.6111,0.9602,0,16.75,0,28.3347,8.6506,0,18.532,0,0.754,15,1.3464,0,25.6824,0,40.1525,0,30.6964,895.4656,0,4.6551,163.4219,28.7809,238.4865,4.9836,17.9897,6.0931,1674.3347,10.9579
28.08.2006,8.1232,1.6,0,0,14.7826,0,0,2.5,0.135,0,0,1.06,0.9427,32.9653,0.7876,40.6203,0.9602,0,16,0,27.6082,8.7489,0,18.532,5.9015,0.7447,14.75,1.5677,0,25.4177,0,40.5349,0,31.176,864.5874,0,4.6081,166.4908,30.9948,248.5432,4.9197,17.0303,5.5936,1603.7052,10.9579
04.09.2006,9.312,1.7,0,0,16.087,0,0,2.4167,0.14,0,0,1.22,0.9612,33.9493,0.886,46.0694,1.0032,0,16.25,0,28.3347,8.9455,0,20.6869,0,0.7075,14.75,1.6415,0,27.5358,0,41.2997,0,31.6556,895.4656,0,4.7962,171.0943,32.766,261.4732,5.1753,17.0303,5.8933,1628.6333,11.7849
11.09.2006,8.4204,1.68,0,0,14.7826,0,0,2.3333,0.135,0,0,1.26,0.9427,33.4573,0.7876,45.574,0.9889,0,16,0,28.698,8.8472,0,20.6869,6.1894,0.6516,16,1.7153,0,27.8006,0,42.4469,0,31.6556,908.6991,0,4.6551,176.4649,33.6515,261.4732,4.9836,17.0303,5.7934,1695.1081,11.5782
18.09.2006,8.4204,1.68,0,0,15.2174,0,0,2.3333,0.135,0,0,1.32,0.9427,32.9653,0.7876,48.0509,1.0032,0,16.5,0,29.0613,9.0438,0,21.1178,5.9015,0.7075,16.25,1.6968,0,27.8006,0,43.5941,0,32.6149,921.9325,0,4.7021,176.4649,33.6515,267.2198,5.2392,17.51,5.8933,1848.8311,11.7849
25.09.2006,8.3213,1.74,0,0,15.2174,0,0,2.4167,0.13,0,0,1.26,0.9612,32.9653,0.7876,48.5463,1.0605,0,16.5,0,29.0613,8.7489,0,20.9024,0,0.7075,16.25,1.7337,0,27.0063,0,44.7413,0,33.5742,952.8107,0,4.8902,187.9735,34.5371,265.7832,5.3669,17.2702,6.193,1844.6765,12.1984
02.10.2006,8.1232,1.88,0,0,15.2174,0,0,2.4167,0.13,0,0,1.28,0.9427,33.4573,0.7876,50.5277,1.1609,0,16.5,0,30.1511,8.7489,0,21.5488,0,0.7075,16.75,1.7521,0,26.4767,0,45.1237,0,33.0945,943.9883,0,4.8902,193.7278,35.8654,267.2198,5.4308,17.7499,6.193,1869.6045,11.5782
09.10.2006,7.826,1.98,0,0,15.2174,0,0,2.5833,0.13,0,0,1.36,0.9612,33.4573,0.7876,51.0231,1.1752,0,18,0,30.5143,8.7489,0,21.7643,5.1818,0.7726,18.5,1.7337,0,28.3301,0,44.3589,0,35.9723,1010.1557,0,5.2664,197.564,36.751,283.0232,5.4308,18.4695,6.9921,1828.0578,11.3714
16.10.2006,7.9251,2.38,0,0,15.2174,0,0,2.6667,0.135,0,0,1.42,1.0166,33.4573,0.7876,50.5277,1.2182,0,18.75,0,0,8.9455,0,21.9798,0,0.8192,19.75,1.8444,0,28.8597,0,43.2117,0,37.8908,988.0999,0,5.2664,201.4002,35.4227,283.0232,5.4947,18.2296,7.1918,1869.6045,11.5782
23.10.2006,8.0242,2.8,0,0,15.6522,0,0,2.5833,0.13,0,0,1.42,1.0166,33.4573,0.7876,50.5277,1.2469,0,19.5,0,33.0572,8.9455,0,22.8417,0,0.8657,19.75,1.9735,0,29.3954,0,45.8886,0,39.3297,970.4553,0,5.3604,209.0726,38.5221,281.5865,5.5586,18.4695,7.7912,1894.5326,11.7849
30.10.2006,7.9251,2.8,0,0,17.1739,0,0,2.5833,0.135,0,0,1.46,1.0351,34.9333,0.7876,52.5092,1.2469,0,21.25,0,32.6939,9.0438,0,23.7037,5.9015,0.9309,19.75,2.1764,0,32.3349,0,47.4182,0,38.8501,979.2776,0,5.5485,214.8269,38.9649,284.4598,5.7503,20.6282,8.0908,1961.0074,12.4052
06.11.2006,7.9251,2.75,0,0,18.2609,0,0,2.5833,0.13,0,0,1.44,1.0166,34.4413,0.7384,52.0139,1.1609,0,21.25,0,34.8735,9.2404,0,22.8417,0,0.8936,19.5,2.1764,0,33.1366,0,48.183,0,38.8501,1058.6785,0,5.4545,218.6631,39.4077,281.5865,6.0059,19.9087,7.891,2035.7916,12.6119
13.11.2006,7.826,2.75,0,0,18.913,0,0,2.6667,0.135,0,0,1.56,0.9981,40.3456,0.886,53.0046,1.2182,0,22.75,0,36.6898,9.1421,0,24.1347,0,0.8843,19,1.9366,0,33.671,0,48.183,0,39.3297,1168.9575,0,5.3604,228.2536,39.4077,298.8265,6.1336,18.2296,7.891,2093.9571,12.4052
20.11.2006,7.727,3.3,0,0,23.4783,0,0,2.75,0.155,0,0,1.88,1.2199,44.7737,0.886,56.4722,1.2182,0,21.25,0,38.5062,9.3387,0,24.5657,0,0.9495,20,2.0288,0,34.2055,0,48.5654,0,40.289,1111.6124,0,5.8306,239.7622,38.5221,290.2065,6.5489,18.4695,8.4904,2060.7197,12.6119
27.11.2006,8.0242,3.1,0,0,22.1739,0,0,2.6667,0.16,0,0,1.82,1.0721,43.7897,0.9352,55.4814,1.1895,0,19.75,0,35.2368,9.8302,0,24.7811,0,0.9681,19.75,1.955,0,33.4038,0,48.5654,0,39.3297,1107.2013,0,5.6425,232.0898,39.8505,284.4598,6.3253,19.1891,8.9898,2081.493,11.9917
04.12.2006,7.9251,3,0,0,20,0,0,2.6667,0.15,0,0,1.68,1.0721,41.8216,0.9352,52.5092,1.1895,0,19.25,0,35.9633,10.5675,0,23.7037,6.1894,1.0053,19.25,2.0288,0,35.0072,0,48.183,0,38.3705,1102.7901,0,5.6425,232.0898,39.8505,285.8965,6.3253,19.1891,9.1896,2031.6369,12.5
11.12.2006,8.2223,3.25,0,0,23.0435,0,0,2.6667,0.145,0,0,2.26,1.0536,41.3296,0.9352,59.4444,1.3042,0,20.5,0,37.0531,9.6336,0,23.0572,6.1894,1.1729,19.25,2.121,2.374,35.0072,0,47.8006,0.9922,39.8094,1102.7901,0,5.8306,228.2536,38.9649,281.5865,6.3253,18.7093,9.1896,2035.7916,12.2917
18.12.2006,9.7082,3.2,0,0,22.1739,0,0,2.6667,0.165,0,0,2.2,1.0536,43.2977,1.0829,60.4351,1.3185,0,21,0,37.7796,9.6336,0,22.8417,4.3758,1.1729,19,2.2329,3.3755,36.0761,0,49.7126,1.4883,39.3297,1089.5566,0,6.4889,230.1717,39.4077,287.3332,6.5489,18.9492,9.7889,2023.3276,12.7083
08.01.2007,8.9157,3.3,0,0,21.7391,0,0,2.8333,0.165,0,0,2.6,1.0721,44.2817,0.9845,67.3703,1.5227,0,19.25,0,37.7796,8.7489,0,23.2727,4.7788,1.2287,22,2.4092,3.3014,35.2744,0,50.1376,5.3581,41.2483,1102.7901,0,7.2413,243.5984,39.8505,318.9398,7.3476,17.9897,10.4881,2035.7916,12.9167
15.01.2007,8.8167,3.8,0,0,25.6522,0,0,2.8333,0.165,0,0,2.9,1.1275,46.7418,1.0829,75.2962,1.5227,0,18.75,0,39.9592,8.7489,0,23.7037,4.8939,1.2287,24.75,2.3309,3.7836,36.0761,0,54.0242,5.2588,42.6872,1041.0339,0,8.3698,247.4345,40.736,336.1798,7.1879,18.7093,11.2372,2027.4822,12.9167
22.01.2007,9.1139,4.25,0,0,29.5652,0,0,2.8333,0.16,0,0,2.7,1.1275,48.7099,1.1814,71.3333,0,0,20.75,0,42.5021,9.1421,0,23.9192,4.6061,1.3777,23.5,2.3113,3.8578,37.4123,0,54.4129,5.1596,41.7279,1138.0794,0,8.5579,266.6155,42.5072,341.9265,7.3476,17.7499,12.2361,2160.4319,13.75
