"";"Koef";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity"
"2012-05-31";23,41078466067;0,0239057829361976;-0,111722945839008;-0,0430471135479828;0,0492735744324619;0,132164581545848;-0,381067284426919;-0,175736557374397;-0,0845416016067666;0,172583005760073;0,215563509374768;-0,00364601776115498;0,0449322619210172;-0,10910771125582;0,102021717163939;-0,00729832392485228;-0,00830309717954914;0,0334194625909254;0,114998593555114;0,111137510719655;-0,0755293470835501
"2012-06-29";23,1848244431301;0,0356975227935593;-0,0851232689980426;-0,138718506262677;-0,00490656543939426;0,0847174214630402;-0,337321735729708;-0,213321896609154;-0,0731847187073819;0,232484893072957;0,127301585865662;0,0574214232508352;0,000763500698248444;-0,0700484955065829;0,180702471932411;0,00602946508400673;-0,00205359754331449;0,0953508286439704;0,111160392078536;0,0683704951167741;-0,0753212152037448
"2012-07-31";21,0503628157549;0,155049927016039;-0,0413791372864361;-0,139146501482882;-0,108546737196156;0,0741767364441106;-0,114242619436204;-0,175947784101561;-0,123224444214941;0,271602350642904;0,110287265120316;-0,05351209982848;0,136316795662298;-0,124034412344052;0,182833703812153;-0,0197688976053228;-0,00241167877239536;0,00641315962954009;0,0633200616726395;-0,0275337428742339;-0,0702519448573356
"2012-08-31";27,1736964706633;0,0941720271079503;0,241658358604568;-0,068812559492959;-0,141052551807089;-0,152096457723924;0,122029400221257;-0,0724057489981494;-0,018116451692278;-0,000731558672649345;-0,000363001561651326;-0,0960394399097123;0,130869385715154;-0,088908448760453;0,251061812668176;0,0698879417346403;0,090321073948254;-0,142118763744535;-0,0163751613185463;-0,194625275457903;-0,00835458086015036
"2012-09-28";37,1535230356021;-0,0113595128489826;0,0465572373249492;-0,176801701693083;-0,0726251050315706;-0,153535077887941;0,267421641630515;0,0868137231615445;0,267293842105184;0,000596593849120132;-0,11700581932418;-0,00279126679136934;0,157867209635368;-0,20883459200296;0,0510577326353291;0,0301364119653053;0,0299350880605391;-0,21965404652156;0,0623205196321453;-0,0144132944032385;-0,0229795834951144
"2012-10-31";37,6816943277544;-0,0221986838272204;-0,0353691153687851;-0,0531372770263634;-0,0764587532963381;-0,095458103667941;-0,189516881484992;-0,108868976973574;0,202449355191063;-0,153731527040946;-0,128747916211687;0,112696548213422;-0,00217043160040636;0,0562046836564369;0,130074268292119;0,0133094346316176;0,0449862329334109;-0,0662397383120624;0,0803830113501849;0,359896465731746;-0,068102595189684
"2012-11-30";29,8673267065553;-0,0947367104603566;-0,123473245420607;0,0428494033714427;0,0255644029142102;-0,144715665416742;0,0788855670829056;-0,138694524993304;0,184163379817832;-0,0970475831625114;-0,0561412189794869;-0,0526013795981711;0,0228892541211618;-0,0229502556456836;0,118783642683519;-0,0848162475943127;-0,0197066783368426;0,0254073386373323;0,0936997235371806;0,407757287834415;-0,165116490391982
"2012-12-28";23,0461723533267;-0,0967179654156537;-0,0253499993890795;0,220202483974098;0,0177995013222124;-0,0685833557765234;-0,170768126030896;-0,185288212024593;-0,0377521849565862;-0,124535349795802;0,0640092909140612;-0,0901586420090663;0,0675461310904659;-0,00389044373785002;0,166047190102449;-0,0747204044871385;0,00260626675794098;0,131510228038878;0,0261812499246366;0,304097657875258;-0,122235316376811
"2013-01-31";18,647106727414;-0,129292511546774;-0,10606062169644;0,245369114098567;0,228760631276621;-0,127600877400311;-0,0346739360225382;-0,108874839005835;-0,0177972684344935;-0,160736350051275;0,0149055789799827;-0,1066689223156;0,0272035125159864;-0,0693472078232089;0,158325574412115;0,0549720946789327;0,0898241597949076;0,134177707888418;-0,0314958974942808;0,0464616263544695;-0,107451568209244
"2013-02-28";21,1019492061666;-0,0862144260977472;-0,0738432678348257;0,288972405728502;0,18639515825251;-0,0603510089260319;-0,155418954948302;-0,127109771085642;-0,122846521414303;-0,0620851800694761;0,0971277262775151;-0,0977261400662769;-0,0324683530573453;0,0095328747772628;0,220280355724729;0,0427490153140896;0,087988381959602;0,0669540819657895;-0,0446555780936046;-0,063333686574159;-0,0739471118322861
